"Username","group2","Reach"
"@abonisoli","Scientists",208
"@aboringname","Public",42
"@abottledstar","Public",28
"@abotzer","Media",66
"@aboutchomsky","Public",2246
"@aboutgeology","Media",4329
"@abouthormones","Media",450577
"@aboutinsects","Scientists",5645
"@aboutinsects","Media",5645
"@aboutmarinelife","Media",746
"@abouttobefit","Public",16593
"@aboutwhales","Public",1703
"@aboveallshadows","Scientists",169
"@aboy690408","Public",572
"@abpaxton","Scientists",217
"@abqtomw","Scientists",85
"@abr_eco","Scientists",360
"@abracco","Public",21645
"@abrahamdsmith","Scientists",31
"@abrahamsrs","Scientists",31
"@abrahamsrs","Media",31
"@abraid_group","Scientists",122
"@abrashtx","Public",140
"@abremges","Scientists",253
"@abresler","Public",1289
"@abrianmc","Scientists",168
"@abroaderview","Applied",207107
"@abroadintheyard","Public",910
"@abrook27","Public",60
"@abs_biosci","Scientists",78
"@abs014","Public",114
"@abscrisp","Scientists",19
"@absenceclub","Media",412
"@abslawson","Scientists",38
"@absolute_gem","Public",207
"@absoluteboxing","Public",294
"@absoluteretail","Public",536
"@absoule","Public",142
"@abstoler","Scientists",66
"@absurveyors","Public",1718
"@absvrdist","Public",39
"@abugblog","Scientists",889
"@abumatiza","Public",67
"@abundantoceans","Public",106
"@abuomer155","Public",184
"@aburchy","Media",77
"@aburrows1","Public",13
"@abyssaldive","Public",44
"@abyssbliss","Media",260
"@abyssinianloop","Media",24
"@ac_baquero","Scientists",214
"@ac441e5bd9f8490","Public",161
"@ac7031","Media",21
"@acablag","Scientists",119
"@acaciajoe","Scientists",27
"@acaciareevesxx","Public",216
"@acadciencplanta","Scientists",153
"@academiaobscura","Scientists",14898
"@academiblah","Public",76
"@academicbatgirl","Public",5007
"@academicdigital","Scientists",410
"@academickarma","Scientists",844
"@academicminute","Scientists",1053
"@academicminute","Media",1053
"@academicminute","Public",1056
"@academyofscistl","Media",1067
"@acalderas","Public",118
"@acalgar","Scientists",458
"@acallazoo","Scientists",344
"@acambridgestory","Scientists",927
"@acampbelteacher","Outreach",96
"@acanavan1","Scientists",33
"@acanthephyra","Scientists",1060
"@acanthoplus","Scientists",149
"@acaragiulo417","Scientists",124
"@acarapelli","Scientists",58
"@acardilini","Scientists",64
"@acarolcolombo","Scientists",25
"@acarolinfrank","Scientists",364
"@acarriebear","Public",41
"@acarroll100","Public",589
"@acarzik","Public",62
"@acase_admission","Public",125
"@acatalepsy1","Scientists",21
"@acatenazzi","Scientists",222
"@acaudel","Media",43
"@acbrittingham1","Scientists",0
"@accactg","Public",4972
"@accidental__art","Public",600
"@accion_delfines","Media",773
"@accion_lobo","Scientists",2228
"@acclimatise","Media",1592
"@acclimatrix","Scientists",492
"@accmissiles","Public",6
"@accreditinc","Public",234
"@acdarby","Scientists",825
"@aceas_aus","Scientists",530
"@acelles","Public",995
"@acep_za","Scientists",349
"@aceralps","Scientists",1553
"@acerbialberto","Scientists",497
"@acerbialberto","Media",497
"@acerecology","Scientists",2521
"@acereventura","Public",200
"@acerrillo3","Public",4171
"@aces_community","Scientists",783
"@acesaspen","Scientists",1497
"@acesforbusiness","Public",349
"@acfml","Media",33000
"@acgerstein","Scientists",65
"@acgrimes","Public",38
"@acgruswitz","Scientists",246
"@achacoss","Public",76
"@achansell","Scientists",38
"@achatzino","Scientists",6
"@achausson","Scientists",102
"@achauvenet","Scientists",680
"@achazhardenberg","Scientists",313
"@achile_a","Public",157
"@aciaraustralia","Public",2707
"@acibase","Public",48
"@aciblogindex","Public",116
"@acid_pteropod","Public",105
"@aciebrucie","Public",1005
"@acinojto","Public",210
"@acirtwill","Scientists",9
"@acjensen","Scientists",131
"@ackack27","Public",27
"@aclaborn79","Media",10
"@aclarkenz","Scientists",160
"@aclevenstine","Public",44
"@aclubine","Scientists",276
"@acmartensen","Scientists",23
"@acmccallum","Scientists",344
"@acmidgley","Public",412
