"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@lauriebarrow4","vet student",0,1,0,0,0,0,0,0,0,0,0
"@naoiho","transplanted ohioan living near melbourne dad husband collingwood member housemate of far too many animals",0,0,0,0,0,0,0,0,0,0,1
"@nryes15","ucl graduate entrepreneur interested in academic exchanges energy policy economics development affairs founder of projectcolombi2",0,0,0,1,0,0,0,0,0,0,0
"@perlodidae","im the arctic springfly an aquatic insect tweeting about science",0,0,0,0,0,0,0,0,0,0,1
"@michael_manhart","postdoc researcher at harvard biophysics evolution systems biology",0,1,0,0,0,0,0,0,0,0,0
"@pi_cards","pixel inititiative playing card designer live on kickstarter now https tco dnss6icihl",0,0,0,0,0,0,0,0,0,0,1
"@phydyn","lecturer in bioinformatics computational evolution group u auckland infectious diseases phylogenetics networks computational statistics",1,0,0,0,0,0,0,0,0,0,0
"@lithographie","where minerals the humanities meet",0,0,0,0,0,0,0,0,0,0,1
"@rebeccamorelle","hello im the global science correspondent for bbc news",0,0,0,0,0,0,1,0,0,0,0
"@seanpbryan","paleoclimatologist geologist dad food beer geek instructor at colorado state university",0,0,0,1,0,0,0,0,0,0,0
"@underh2oshow","under h2o a pbs digital studios biweekly series underwater film making adventures with emmy award winning underwater cameraman biologist craig musburger",0,1,0,0,0,0,0,0,0,0,0
"@yyyogamt","discover your gateway to wellness through yoga drumming holistic coaching with becca hanna owner operator of yin yang yoga have a gr8 day namaste",0,0,0,0,0,0,0,0,0,0,1
"@wildlife_dp","wildlife british photography birdsanimalsforestplants search results",0,0,0,0,0,0,0,0,0,0,1
"@masaradon","antitokyo antinationalism photography nature wildlife travel earth science",0,0,0,0,0,0,0,0,0,0,1
"@swim_teach_em","parenting swimming teaching pgce student hopeacuk dog owning reading open water swimming living",0,1,0,0,0,0,0,0,0,0,0
"@richardbogle","consultant cardiologist london education is not just about imparting information its about formation transformation dhmsa interested in medical history",0,0,0,1,0,0,0,0,0,0,0
"@zombiedennis","a zombie in emeritus non try from the beginning",0,0,0,0,0,0,0,0,0,0,1
"@lorenacarolinap","la usc uscannenberg ma strategic public relations global communication csr crisis management passionate about environmental issues animal rights",0,0,0,0,0,0,1,0,0,0,0
"@limeypomme","landowner genius pickpocket birds geography life seriously",0,0,0,1,0,0,0,0,0,0,0
"@marinecng","sea ng corporation is engaged in the development commercialization of technology for marine transportation of natural gas cng mktg director lyndon ward",0,0,0,1,0,0,0,0,0,0,0
"@sirjohn_writer","award winning novelist master of the international romantic thriller but still a crazy laid back beach guy http tco rnibm4awzm http tco vl2ojwnxnx",0,0,0,0,0,0,0,0,0,0,1
"@sekramer","i heart reproductive justice gadgets cats in sinks drinks with ginger swimming here on off since 2008 somehow",0,0,0,0,0,0,0,0,0,0,1
"@union_oma","union college office of multicultural affairs",0,0,0,0,0,0,0,0,0,0,1
"@niknak_t29","i wish i had gills",0,0,0,0,0,0,0,0,0,0,1
