"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@curiously_megan","laboratory manager at a ubc yeast genetics lab tweeting about science sustainability issues vancouverite scientist foodie enviromentalist runner",0,0,0,1,0,0,0,0,0,0,0
"@cherissedupreez","marine ecologist phd candidate university of victoria",0,1,0,0,0,0,0,0,0,0,0
"@fiskeforbrains","marine ecology phd candidate at uow fishthinkers research group football tragic proud captain of woononafc",0,1,0,0,0,0,0,0,0,0,0
"@bergatsea","msc student currently looking into seabirds as ocean indicators ocean addict with a passion for seabirds marine mammals sailing photography",0,1,0,0,0,0,0,0,0,0,0
"@katrinavangrouw","author of the unfeathered bird former bird curator at the natural history museum graduate of the royal college of art",0,0,1,0,0,0,0,0,0,0,0
"@byebycatch","marine biologist all about shark behaviour sustainable fisheries art science mashups tweets my own opinions",0,0,0,1,0,0,0,0,0,0,0
"@kevinhrusovsky","family buckeye global health revolutionary collaborating to eradicate disease personalize health affordable accessible healthcare all views are my own",0,0,0,0,0,0,0,0,0,0,1
"@gzaleznat","microbiology genetics franais deutsch phd work in progress love travelling",0,0,0,1,0,0,0,0,0,0,0
"@franeviso","evolutionary ecologist doing research on lifehistory evolution population genetics ecological interactions community ecology",0,0,0,1,0,0,0,0,0,0,0
"@apcrdity","asiapacific center for regenerative design",0,0,0,0,0,0,0,0,0,0,1
"@avoidableco2","helping save the planet from avoidable co2 climate change",0,0,0,0,0,0,0,0,0,0,1
"@jhonrafaelblade",NA,0,0,0,0,0,0,0,0,0,1,0
"@hoekmandavid","teaching ecology at snu",0,0,0,0,1,0,0,0,0,0,0
"@elotroalex","digital scholarship coordinator at columbia university archival swashbuckler otramerican extraordinaire",0,0,0,0,0,0,0,0,0,0,1
"@henryish2014",NA,0,0,0,0,0,0,0,0,0,1,0
"@alessio_r_","marine scientist leader of the sea level coastal changes group at marumde leibnizwgl zmt adjunct lamontearth opinions my own",0,0,0,1,0,0,0,0,0,0,0
"@aumissandra",NA,0,0,0,0,0,0,0,0,0,1,0
